wavenumber_cm_minus_1,transmittance,absorbance
5.000000000000000000e+02,8.391999999999999460e-01,7.613452481449858866e-02
5.010000000000000000e+02,8.386000000000000121e-01,7.644514193245058320e-02
5.020000000000000000e+02,8.379999999999999671e-01,7.675598136972351659e-02
5.030000000000000000e+02,8.374000000000000332e-01,7.706704344478831903e-02
5.040000000000000000e+02,8.367999999999999883e-01,7.737832847680098380e-02
5.050000000000000000e+02,8.362000000000000544e-01,7.768983678560405226e-02
5.060000000000000000e+02,8.356000000000000094e-01,7.800156869172902852e-02
5.070000000000000000e+02,8.349999999999999645e-01,7.831352451639793377e-02
5.080000000000000000e+02,8.344000000000000306e-01,7.862570458152552677e-02
5.090000000000000000e+02,8.337999999999999856e-01,7.893810920972142708e-02
5.100000000000000000e+02,8.333000000000000407e-01,7.919861817434578621e-02
5.110000000000000000e+02,8.326999999999999957e-01,7.951143534170219962e-02
5.120000000000000000e+02,8.320999999999999508e-01,7.982447798997724386e-02
5.130000000000000000e+02,8.315000000000000169e-01,8.013774644446194917e-02
5.140000000000000000e+02,8.309999999999999609e-01,8.039897621588902588e-02
5.150000000000000000e+02,8.304000000000000270e-01,8.071265949561735875e-02
5.160000000000000000e+02,8.297999999999999821e-01,8.102656950704580086e-02
5.170000000000000000e+02,8.292000000000000481e-01,8.134070657817674133e-02
5.180000000000000000e+02,8.286999999999999922e-01,8.160266115629984107e-02
5.190000000000000000e+02,8.280999999999999472e-01,8.191721535781282260e-02
5.200000000000000000e+02,8.275000000000000133e-01,8.223199755224364083e-02
5.210000000000000000e+02,8.268999999999999684e-01,8.254700807033653331e-02
5.220000000000000000e+02,8.264000000000000234e-01,8.280969148843582428e-02
5.230000000000000000e+02,8.257999999999999785e-01,8.312512146131668944e-02
5.240000000000000000e+02,8.259999999999999565e-01,8.301995267961780056e-02
5.250000000000000000e+02,8.263000000000000345e-01,8.286224724355571725e-02
5.260000000000000000e+02,8.266999999999999904e-01,8.265206237222837149e-02
5.270000000000000000e+02,8.270999999999999464e-01,8.244197917456388969e-02
5.280000000000000000e+02,8.274000000000000243e-01,8.228448344050659502e-02
5.290000000000000000e+02,8.277999999999999803e-01,8.207457793525885226e-02
5.300000000000000000e+02,8.280999999999999472e-01,8.191721535781282260e-02
5.310000000000000000e+02,8.285000000000000142e-01,8.170748724464443891e-02
5.320000000000000000e+02,8.288999999999999702e-01,8.149786036382622445e-02
5.330000000000000000e+02,8.292000000000000481e-01,8.134070657817674133e-02
5.340000000000000000e+02,8.296000000000000041e-01,8.113125661901544883e-02
5.350000000000000000e+02,8.299999999999999600e-01,8.092190762392612036e-02
5.360000000000000000e+02,8.306999999999999940e-01,8.055578953476306980e-02
5.370000000000000000e+02,8.314000000000000279e-01,8.018997982980402561e-02
5.380000000000000000e+02,8.322000000000000508e-01,7.977228854307147343e-02
5.390000000000000000e+02,8.328999999999999737e-01,7.940713791519152243e-02
5.400000000000000000e+02,8.336999999999999966e-01,7.899019850296566669e-02
5.410000000000000000e+02,8.344000000000000306e-01,7.862570458152552677e-02
5.420000000000000000e+02,8.352000000000000535e-01,7.820951434181303008e-02
5.430000000000000000e+02,8.358999999999999764e-01,7.784567476894116433e-02
5.440000000000000000e+02,8.366000000000000103e-01,7.748213975538854881e-02
5.450000000000000000e+02,8.374000000000000332e-01,7.706704344478831903e-02
5.460000000000000000e+02,8.380999999999999561e-01,7.670415934449607842e-02
5.470000000000000000e+02,8.387999999999999901e-01,7.634157820669376648e-02
5.480000000000000000e+02,8.396000000000000130e-01,7.592757008963715859e-02
5.490000000000000000e+02,8.403000000000000469e-01,7.556563645676933616e-02
5.500000000000000000e+02,8.409999999999999698e-01,7.520400420208783743e-02
5.510000000000000000e+02,8.417999999999999927e-01,7.479107858799645403e-02
5.520000000000000000e+02,8.415000000000000258e-01,7.494587968815734358e-02
5.530000000000000000e+02,8.408999999999999808e-01,7.525564752005145519e-02
5.540000000000000000e+02,8.403000000000000469e-01,7.556563645676933616e-02
5.550000000000000000e+02,8.397000000000000020e-01,7.587584681417518240e-02
5.560000000000000000e+02,8.390999999999999570e-01,7.618627890881034259e-02
5.570000000000000000e+02,8.385000000000000231e-01,7.649693305789545539e-02
5.580000000000000000e+02,8.378999999999999782e-01,7.680780957933251718e-02
5.590000000000000000e+02,8.372000000000000552e-01,7.717078033335110498e-02
5.600000000000000000e+02,8.366000000000000103e-01,7.748213975538854881e-02
5.610000000000000000e+02,8.359999999999999654e-01,7.779372256098363025e-02
5.620000000000000000e+02,8.362000000000000544e-01,7.768983678560405226e-02
5.630000000000000000e+02,8.368999999999999773e-01,7.732643214144578614e-02
5.640000000000000000e+02,8.376000000000000112e-01,7.696333132921406861e-02
5.650000000000000000e+02,8.385000000000000231e-01,7.649693305789545539e-02
5.660000000000000000e+02,8.396000000000000130e-01,7.592757008963715859e-02
5.670000000000000000e+02,8.399999999999999689e-01,7.572071393811835582e-02
5.680000000000000000e+02,8.417000000000000037e-01,7.484267282410148048e-02
5.690000000000000000e+02,8.427000000000000046e-01,7.432700607875947219e-02
5.700000000000000000e+02,8.437999999999999945e-01,7.376047895413781474e-02
5.710000000000000000e+02,8.447999999999999954e-01,7.324609481026296554e-02
5.720000000000000000e+02,8.447999999999999954e-01,7.324609481026296554e-02
5.730000000000000000e+02,8.444000000000000394e-01,7.345177536438120269e-02
5.740000000000000000e+02,8.439999999999999725e-01,7.365755337434495842e-02
5.750000000000000000e+02,8.436000000000000165e-01,7.386342893255121167e-02
5.760000000000000000e+02,8.431999999999999496e-01,7.406940213152864161e-02
5.770000000000000000e+02,8.428999999999999826e-01,7.422394616325371508e-02
5.780000000000000000e+02,8.425000000000000266e-01,7.443009045662375700e-02
5.790000000000000000e+02,8.420999999999999597e-01,7.463633264589844551e-02
5.800000000000000000e+02,8.417000000000000037e-01,7.484267282410148048e-02
5.810000000000000000e+02,8.414000000000000368e-01,7.499749231902243241e-02
5.820000000000000000e+02,8.411999999999999478e-01,7.510073598571653797e-02
5.830000000000000000e+02,8.409999999999999698e-01,7.520400420208783743e-02
5.840000000000000000e+02,8.407999999999999918e-01,7.530729697981419779e-02
5.850000000000000000e+02,8.405000000000000249e-01,7.546228222451019374e-02
5.860000000000000000e+02,8.403000000000000469e-01,7.556563645676933616e-02
5.870000000000000000e+02,8.400999999999999579e-01,7.566901529132161186e-02
5.880000000000000000e+02,8.404000000000000359e-01,7.551395626608500833e-02
5.890000000000000000e+02,8.408999999999999808e-01,7.525564752005145519e-02
5.900000000000000000e+02,8.414000000000000368e-01,7.499749231902243241e-02
5.910000000000000000e+02,8.418999999999999817e-01,7.473949048056474642e-02
5.920000000000000000e+02,8.424000000000000377e-01,7.448164182256987453e-02
5.930000000000000000e+02,8.435000000000000275e-01,7.391491307485596740e-02
5.940000000000000000e+02,8.446000000000000174e-01,7.334892291111110019e-02
5.950000000000000000e+02,8.457000000000000073e-01,7.278366940873523538e-02
5.960000000000000000e+02,8.468999999999999861e-01,7.216786713341821757e-02
5.970000000000000000e+02,8.479999999999999760e-01,7.160414774328618948e-02
5.980000000000000000e+02,8.491999999999999549e-01,7.099001450603882601e-02
5.990000000000000000e+02,8.501999999999999558e-01,7.047889936889598084e-02
6.000000000000000000e+02,8.510999999999999677e-01,7.001940948448528990e-02
6.010000000000000000e+02,8.519999999999999796e-01,6.956040523329989900e-02
6.020000000000000000e+02,8.528999999999999915e-01,6.910188558989542595e-02
6.030000000000000000e+02,8.538000000000000034e-01,6.864384953207203210e-02
6.040000000000000000e+02,8.547000000000000153e-01,6.818629604086068330e-02
6.050000000000000000e+02,8.547000000000000153e-01,6.818629604086068330e-02
6.060000000000000000e+02,8.546000000000000263e-01,6.823711151882226600e-02
6.070000000000000000e+02,8.544000000000000483e-01,6.833876031551877617e-02
